"name","alias","priority","radioDisplayName","team","radioIntercept","vduVideo","dialogue","bucket","note"
"Host_IntroChampion_01_01","diag_ap_ainotify_introchampion_01_01",0,"#HOST_AI","TEAM_MILITIA",false,"","This is your champion","INTRO_CHAMPION_CARD",""
"Host_IntroChampion_01_02","diag_ap_ainotify_introchampion_01_02",0,"#HOST_AI","TEAM_MILITIA",false,"","This is your champion","INTRO_CHAMPION_CARD",""
"Host_IntroChampion_02_01","diag_ap_ainotify_introchampion_02_01",0,"#HOST_AI","TEAM_MILITIA",false,"","Introducing your champion","INTRO_CHAMPION_CARD",""
"Host_IntroChampion_02_02","diag_ap_ainotify_introchampion_02_02",0,"#HOST_AI","TEAM_MILITIA",false,"","Introducing your champion","INTRO_CHAMPION_CARD",""
"","",0,"","",false,"","","",""
"Host_AI_CircleMoving_01","diag_ap_aiNotify_circleMoving_01",0,"#HOST_AI","TEAM_MILITIA",false,"","Warning: Circle movement in progress.","CIRCLE_MOVING","Circle Moving"
"Host_AI_CircleMoving_02","diag_ap_aiNotify_circleMoving_02",0,"#HOST_AI","TEAM_MILITIA",false,"","Warning: Circle closing.","CIRCLE_MOVING","Circle Moving"
"Host_AI_FinalCircleMoving_01","diag_ap_aiNotify_circleMovingFinal_01",0,"#HOST_AI","TEAM_MILITIA",false,"","Warning: Final circle movement in progress.","FINAL_CIRCLE_MOVING","Final Circle Moving"
"Host_AI_FinalCircleMoving_02","diag_ap_aiNotify_circleMovingFinal_02",0,"#HOST_AI","TEAM_MILITIA",false,"","Warning: Final circle closing.","FINAL_CIRCLE_MOVING","Final Circle Moving"
"Host_AI_CircleClosingToNothing_01","diag_ap_aiNotify_circleClosingFinal_01",0,"#HOST_AI","TEAM_MILITIA",false,"","Warning: Circle closing completely.","CIRCLE_CLOSING_TO_NOTHING","Circle Closing To Nothing"
"Host_AI_CircleClosingToNothing_02","diag_ap_aiNotify_circleClosingFinal_02",0,"#HOST_AI","TEAM_MILITIA",false,"","Warning: Circle nearing completion.","CIRCLE_CLOSING_TO_NOTHING","Circle Closing To Nothing"
"Host_AI_CarePackage_01","diag_ap_aiNotify_droppingCarePack_01",0,"#HOST_AI","TEAM_MILITIA",false,"","Care package being delivered.","CARE_PACKAGE_DROPPING","Care Package Dropping"
